epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4862,1.54293,4.01656,1.46756,0.01215,0.12476,0.04796,0.03134,1.43038,4.02133,1.35348,0.00019343,0.00019343,0.00019343
2,17.7223,1.54955,3.34634,1.43313,0.01304,0.26575,0.12043,0.07543,1.53584,3.60644,1.39821,0.000389634,0.000389634,0.000389634
3,24.171,1.59546,2.63994,1.43092,0.85567,0.0931,0.1767,0.09827,1.67982,2.94229,1.47254,0.000581876,0.000581876,0.000581876
4,30.3747,1.57849,2.18582,1.38859,0.63129,0.2717,0.29802,0.15937,1.61539,2.10657,1.46003,0.00064719,0.00064719,0.00064719
5,36.4546,1.56854,2.05823,1.41942,0.56932,0.30793,0.31649,0.15943,1.66691,2.02839,1.5388,0.000640587,0.000640587,0.000640587
6,42.5935,1.50283,1.87656,1.38012,0.4808,0.42897,0.41918,0.22205,1.57156,1.69129,1.42663,0.000633983,0.000633983,0.000633983
7,50.2987,1.47554,1.76338,1.36515,0.48886,0.40934,0.43439,0.22727,1.55976,1.65659,1.40905,0.00062738,0.00062738,0.00062738
8,59.1122,1.43037,1.67553,1.33456,0.57501,0.42222,0.45503,0.2415,1.61043,1.64015,1.4307,0.000620777,0.000620777,0.000620777
9,65.6564,1.42018,1.57814,1.31691,0.63662,0.4415,0.46697,0.24082,1.58064,1.60353,1.41193,0.000614174,0.000614174,0.000614174
10,71.7482,1.40617,1.5668,1.30978,0.69775,0.44951,0.50256,0.27408,1.55451,1.50524,1.37449,0.00060757,0.00060757,0.00060757
11,77.8892,1.38298,1.4845,1.29515,0.58652,0.44784,0.49539,0.27209,1.50216,1.5199,1.37227,0.000600967,0.000600967,0.000600967
12,83.8255,1.34604,1.4424,1.29373,0.63634,0.47613,0.51149,0.28232,1.56768,1.46862,1.39597,0.000594364,0.000594364,0.000594364
13,90.1489,1.3094,1.42826,1.27315,0.60586,0.53181,0.5326,0.29037,1.50719,1.37983,1.3574,0.00058776,0.00058776,0.00058776
14,96.1942,1.32931,1.3573,1.27594,0.68298,0.49351,0.53261,0.3015,1.49413,1.39151,1.34268,0.000581157,0.000581157,0.000581157
15,102.278,1.32866,1.36582,1.28328,0.71083,0.48467,0.53115,0.28994,1.48741,1.41101,1.3486,0.000574554,0.000574554,0.000574554
16,108.333,1.33089,1.3527,1.25147,0.6594,0.46262,0.5177,0.28197,1.52776,1.47496,1.38557,0.00056795,0.00056795,0.00056795
17,114.323,1.29693,1.32035,1.24034,0.69428,0.5173,0.55319,0.3102,1.52432,1.33199,1.3778,0.000561347,0.000561347,0.000561347
18,120.368,1.30094,1.30252,1.24161,0.62845,0.48902,0.52262,0.2921,1.56474,1.39251,1.36953,0.000554744,0.000554744,0.000554744
19,126.379,1.29325,1.31297,1.25338,0.66308,0.52595,0.54492,0.31221,1.48715,1.38149,1.33902,0.000548141,0.000548141,0.000548141
20,132.532,1.30649,1.26991,1.24233,0.67199,0.54534,0.55937,0.31274,1.53001,1.34608,1.38102,0.000541537,0.000541537,0.000541537
21,138.887,1.28704,1.22963,1.22596,0.62828,0.51614,0.53432,0.29797,1.53217,1.34929,1.36748,0.000534934,0.000534934,0.000534934
22,144.92,1.24066,1.20157,1.21685,0.65553,0.53738,0.56679,0.31821,1.49548,1.26417,1.36671,0.000528331,0.000528331,0.000528331
23,150.911,1.23803,1.22153,1.22103,0.72592,0.54962,0.59651,0.33243,1.49315,1.25217,1.35884,0.000521727,0.000521727,0.000521727
24,157.003,1.19932,1.16573,1.20918,0.67925,0.52958,0.57217,0.33434,1.4551,1.28429,1.34682,0.000515124,0.000515124,0.000515124
25,163.042,1.22222,1.18416,1.19638,0.783,0.53124,0.5799,0.33388,1.4404,1.26046,1.33575,0.000508521,0.000508521,0.000508521
26,169.13,1.21392,1.166,1.2,0.7436,0.51726,0.56189,0.32428,1.4479,1.29969,1.35006,0.000501917,0.000501917,0.000501917
27,175.324,1.20725,1.12356,1.19079,0.7097,0.53238,0.57497,0.32989,1.48827,1.33107,1.36729,0.000495314,0.000495314,0.000495314
28,181.37,1.18385,1.1042,1.17866,0.71551,0.51828,0.57088,0.32916,1.4607,1.25208,1.33123,0.000488711,0.000488711,0.000488711
29,187.409,1.19187,1.10579,1.20289,0.74215,0.53622,0.5985,0.34952,1.42012,1.16855,1.3253,0.000482108,0.000482108,0.000482108
30,193.724,1.18871,1.09815,1.18166,0.73716,0.54729,0.57162,0.33058,1.47076,1.26733,1.34018,0.000475504,0.000475504,0.000475504
31,199.71,1.18891,1.09203,1.16622,0.78408,0.54246,0.58249,0.33044,1.51235,1.25467,1.37188,0.000468901,0.000468901,0.000468901
32,205.699,1.16356,1.03343,1.17862,0.68162,0.58185,0.58336,0.33104,1.47513,1.21577,1.35583,0.000462298,0.000462298,0.000462298
33,211.67,1.14176,1.02467,1.16303,0.76173,0.54912,0.58196,0.33222,1.44266,1.18966,1.32822,0.000455694,0.000455694,0.000455694
34,217.628,1.14789,1.02499,1.17145,0.74415,0.56564,0.60249,0.34503,1.45406,1.17347,1.33952,0.000449091,0.000449091,0.000449091
35,223.657,1.16335,1.03313,1.16341,0.72433,0.55075,0.58859,0.33791,1.45652,1.19705,1.31959,0.000442488,0.000442488,0.000442488
36,229.694,1.12784,1.00369,1.13465,0.71998,0.56209,0.58814,0.34502,1.41794,1.17453,1.30678,0.000435884,0.000435884,0.000435884
37,235.635,1.12288,0.98155,1.1533,0.76461,0.56296,0.59809,0.35374,1.41133,1.18118,1.30685,0.000429281,0.000429281,0.000429281
38,241.986,1.10948,0.96819,1.12773,0.69192,0.55451,0.57553,0.32762,1.43931,1.23802,1.33306,0.000422678,0.000422678,0.000422678
39,247.966,1.11119,0.98187,1.14819,0.76134,0.55477,0.59074,0.33723,1.42287,1.1362,1.3107,0.000416075,0.000416075,0.000416075
40,254.057,1.07903,0.96595,1.15623,0.73855,0.54088,0.56471,0.32431,1.45972,1.23567,1.32354,0.000409471,0.000409471,0.000409471
41,260.137,1.13749,0.94404,1.1347,0.70804,0.5548,0.58405,0.34674,1.4256,1.21971,1.3199,0.000402868,0.000402868,0.000402868
42,266.127,1.0605,0.91566,1.11995,0.75997,0.56624,0.60687,0.35456,1.40625,1.12472,1.30342,0.000396265,0.000396265,0.000396265
43,272.19,1.09053,0.92791,1.12434,0.69867,0.58187,0.58978,0.34434,1.40917,1.14665,1.31592,0.000389661,0.000389661,0.000389661
44,278.245,1.04891,0.91986,1.1229,0.7498,0.56267,0.59722,0.34599,1.41771,1.13821,1.33249,0.000383058,0.000383058,0.000383058
45,284.308,1.06644,0.89033,1.10227,0.70927,0.58186,0.60042,0.35099,1.42229,1.12974,1.32781,0.000376455,0.000376455,0.000376455
46,290.654,1.06243,0.89378,1.09982,0.78055,0.5626,0.59916,0.3585,1.39888,1.15145,1.31385,0.000369851,0.000369851,0.000369851
