epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,267.105,1.06765,0.94812,1.12763,0.75332,0.57658,0.62557,0.36654,1.3065,1.03165,1.267,0.000396265,0.000396265,0.000396265
43,273.069,1.09731,0.96121,1.14754,0.72809,0.57729,0.63013,0.37197,1.31728,1.02848,1.26733,0.000389661,0.000389661,0.000389661
44,279.383,1.07833,0.90596,1.11195,0.69209,0.56763,0.60716,0.36096,1.33302,1.04564,1.26755,0.000383058,0.000383058,0.000383058
45,285.371,1.04983,0.88609,1.10582,0.69841,0.59031,0.61825,0.36845,1.32944,1.03792,1.2781,0.000376455,0.000376455,0.000376455
46,291.375,1.08282,0.94445,1.1311,0.73001,0.55972,0.61666,0.36366,1.35575,1.08198,1.2832,0.000369851,0.000369851,0.000369851
47,297.508,1.06867,0.91738,1.11214,0.7775,0.56672,0.6253,0.37079,1.31557,1.03778,1.27385,0.000363248,0.000363248,0.000363248
48,303.577,1.06596,0.92612,1.11682,0.82356,0.54042,0.61876,0.35788,1.34474,1.0778,1.28609,0.000356645,0.000356645,0.000356645
49,309.486,1.05846,0.9061,1.11373,0.77109,0.59424,0.64216,0.37531,1.34177,1.03852,1.28836,0.000350042,0.000350042,0.000350042
50,315.531,1.04427,0.88556,1.12119,0.80306,0.5725,0.6216,0.36533,1.34792,1.03083,1.28985,0.000343438,0.000343438,0.000343438
51,321.569,1.02668,0.8599,1.1103,0.75756,0.5792,0.62591,0.36861,1.32435,1.03234,1.26481,0.000336835,0.000336835,0.000336835
52,327.566,1.05348,0.86829,1.10243,0.7236,0.60765,0.63521,0.37511,1.32921,1.04811,1.28298,0.000330232,0.000330232,0.000330232
53,333.815,1.03221,0.84955,1.09982,0.81344,0.57194,0.63515,0.3756,1.3441,1.06443,1.28799,0.000323628,0.000323628,0.000323628
54,339.786,1.0175,0.84461,1.09995,0.78002,0.57543,0.63919,0.38395,1.30945,1.05284,1.2555,0.000317025,0.000317025,0.000317025
55,345.826,1.03752,0.85681,1.10317,0.81427,0.58053,0.64135,0.38326,1.3095,1.0236,1.26043,0.000310422,0.000310422,0.000310422
56,351.908,1.0243,0.86691,1.10939,0.79379,0.59611,0.64491,0.38373,1.3109,1.00923,1.26006,0.000303818,0.000303818,0.000303818
57,357.888,0.98349,0.826,1.09188,0.79753,0.58471,0.64833,0.37985,1.31397,1.00374,1.26662,0.000297215,0.000297215,0.000297215
58,363.969,1.02057,0.83624,1.09167,0.77091,0.59259,0.64681,0.38701,1.2982,1.01187,1.26207,0.000290612,0.000290612,0.000290612
59,370.026,1.01768,0.81969,1.08817,0.77552,0.59686,0.64701,0.38015,1.31687,1.00608,1.27395,0.000284009,0.000284009,0.000284009
60,376.01,0.97854,0.82532,1.08646,0.79372,0.58939,0.64115,0.38362,1.3083,1.00076,1.26795,0.000277405,0.000277405,0.000277405
61,381.95,0.9786,0.79734,1.08667,0.77262,0.59594,0.63758,0.37947,1.32147,1.05694,1.27026,0.000270802,0.000270802,0.000270802
62,388.246,0.99621,0.81637,1.08107,0.80021,0.56502,0.63598,0.38174,1.30657,0.98789,1.26245,0.000264199,0.000264199,0.000264199
63,394.229,0.98716,0.79408,1.08199,0.76531,0.58892,0.6415,0.38847,1.3115,0.98403,1.26982,0.000257595,0.000257595,0.000257595
64,400.339,0.9888,0.78542,1.07077,0.75982,0.61064,0.64977,0.38888,1.31578,0.99157,1.27123,0.000250992,0.000250992,0.000250992
65,406.379,0.96491,0.77332,1.06369,0.80129,0.59734,0.64607,0.38303,1.30979,0.9995,1.27563,0.000244389,0.000244389,0.000244389
66,412.42,0.93628,0.75694,1.05217,0.82529,0.60212,0.64737,0.3851,1.32749,0.98374,1.28013,0.000237785,0.000237785,0.000237785
67,418.36,0.96495,0.779,1.07046,0.81822,0.59426,0.65502,0.3943,1.31489,0.96631,1.26764,0.000231182,0.000231182,0.000231182
68,424.474,0.97094,0.7756,1.05375,0.79945,0.57693,0.64846,0.38711,1.30562,0.99726,1.2657,0.000224579,0.000224579,0.000224579
69,430.472,0.94453,0.73718,1.05603,0.78218,0.59217,0.64511,0.38697,1.29767,0.97666,1.2623,0.000217976,0.000217976,0.000217976
70,436.471,0.92894,0.74824,1.05561,0.798,0.5964,0.65695,0.39026,1.30622,0.97638,1.26416,0.000211372,0.000211372,0.000211372
71,442.665,0.95246,0.75939,1.06514,0.83652,0.57654,0.64272,0.38696,1.30785,0.96477,1.27034,0.000204769,0.000204769,0.000204769
72,448.634,0.9302,0.74989,1.0434,0.85146,0.56044,0.63554,0.3796,1.317,1.00912,1.2749,0.000198166,0.000198166,0.000198166
73,454.614,0.9281,0.74601,1.0479,0.82143,0.57254,0.64684,0.3829,1.31988,1.0044,1.27616,0.000191562,0.000191562,0.000191562
74,460.557,0.9396,0.76435,1.04479,0.74222,0.61184,0.65077,0.39774,1.29038,0.98258,1.25478,0.000184959,0.000184959,0.000184959
